index, f_val
0, 0.376280
1, 0.008007
2, 0.120540
3, 2.568773
4, 5.206567
5, 2.204313
6, 2.417684
7, 0.788159
8, 0.218537
9, 0.640626
10, 0.596134
11, 0.164214
12, 0.295889
13, 3.105419
14, 3.978733
15, 3.368669
16, 0.860512
17, -0.224470
18, 1.174720
19, 0.384969
20, 0.731488
21, 0.062578
22, 0.416589
23, 2.869028
24, 2.949984
25, 3.668879
26, 0.020130
27, -0.502899
28, 0.639759
29, 0.384618
30, 0.215582
31, 0.164441
32, 0.413970
33, 2.992303
34, 3.277211
35, 3.795081
36, 0.192616
37, -0.501994
38, 0.144735
39, 0.316195
40, 1.517858
41, 0.436894
42, 0.430201
43, 0.967207
44, 2.413213
45, 3.955437
46, 0.630426
47, -0.414276
48, 2.067583
49, 0.370407
50, 1.933404
51, 0.231541
52, 0.722194
53, 0.323698
54, 2.338084
55, 0.543934
56, 0.061178
57, -0.232127
58, 4.945051
59, 0.223342
60, 1.208304
61, 0.095620
62, 0.664790
63, 0.680634
64, 0.578946
65, -0.632237
66, 2.404669
67, 1.194569
68, 2.779695
69, 0.378165
70, 1.465495
71, 0.037010
72, 1.154845
73, -1.175120
74, 0.289139
75, -0.270995
76, 0.332718
77, 1.357721
78, 2.202985
79, 0.568674
80, 1.202172
81, 0.015812
82, 1.309752
83, -1.588513
84, 0.510419
85, -0.476318
86, 0.320239
87, 0.724103
88, 2.310576
89, 0.623612
90, 0.879573
91, 0.024963
92, 1.046441
93, -1.213278
94, 3.773726
95, -0.948069
96, 0.069356
97, 0.603718
98, 1.005341
99, 0.473240
100, 0.105064
101, 0.041762
102, 1.066813
103, -1.304514
104, 5.400472
105, -1.040594
106, 0.117613
107, 0.140385
108, 0.525250
109, 0.689775
110, 1.047632
111, 0.001321
112, 1.042282
113, -1.084659
114, 4.227416
115, -0.960438
116, 0.355146
117, 0.266168
118, 0.205007
119, 0.465607
120, 0.593017
121, 0.118976
122, 1.095024
123, -1.138602
124, 5.170634
125, -0.938599
126, 0.195210
127, 0.206369
128, 1.045290
129, 0.420271
130, 0.809991
131, 0.060848
132, 1.070086
133, -1.565114
134, 4.798903
135, -1.106353
136, 0.204332
137, 1.032310
138, 0.287800
139, 0.616945
140, 0.189597
141, 0.129892
142, 0.983254
143, -1.701227
144, 3.586375
145, -1.276008
146, 0.271944
147, 2.135899
148, 0.073322
149, 0.493009
150, 0.795179
151, 0.018388
152, 0.949700
153, -1.130978
154, 3.990130
155, -1.404895
156, 1.735622
157, 1.496838
158, 1.099976
159, 0.591145
160, 1.752064
161, 0.072559
162, 0.749271
163, -0.280979
164, 4.159798
165, -1.092895
166, 2.571830
167, 0.875536
168, 1.203770
169, 0.627668
170, 0.868810
171, 0.149945
172, 0.723166
