index, f_val
0, -0.601658
1, -0.037827
2, -0.000000
3, -0.000000
4, -0.000000
5, -0.000000
6, -0.000000
7, -0.000000
8, -0.247567
9, -0.000000
10, -0.953195
11, -0.000000
12, -0.000000
13, -0.000000
14, -0.000000
15, -0.000000
16, -0.000000
17, -0.891152
18, -0.000000
19, -0.000000
20, -0.000000
21, -0.000000
22, -0.000000
23, -0.000000
24, -0.000000
25, -0.000000
26, -0.067577
27, -1.996528
28, -0.724745
29, -0.000000
30, -0.344706
31, -0.000000
32, -0.000000
33, -0.000000
34, -0.000000
35, -0.000000
36, -0.000000
37, -1.992933
38, -0.000000
39, -0.000000
40, -0.000000
41, -0.000000
42, -0.000000
43, -0.000000
44, -0.000000
45, -0.000000
46, -2.116300
47, -1.644691
48, -0.000000
49, -0.000000
50, -0.000000
51, -0.000000
52, -0.000000
53, -0.000000
54, -0.000000
55, -0.000000
56, -0.205370
57, -0.921552
58, -5.601957
59, -0.000000
60, -1.932030
61, -0.451716
62, -0.000000
63, -0.000000
64, -0.559503
65, -1.966437
66, -0.000000
67, -0.000000
68, -0.000000
69, -0.000000
70, -0.000000
71, -0.174840
72, -0.000000
73, -2.663943
74, -0.279429
75, -0.842872
76, -1.116913
77, -0.000000
78, -0.000000
79, -0.000000
80, -0.000000
81, -0.000000
82, -0.000000
83, -3.601085
84, -0.493278
85, -1.481483
86, -1.075022
87, -0.000000
88, -2.617516
89, -0.000000
90, -1.406402
91, -0.000000
92, -0.000000
93, -2.750444
94, -3.646994
95, -2.948764
96, -0.232822
97, -0.000000
98, -0.000000
99, -0.000000
100, -0.000000
101, -0.197290
102, -0.000000
103, -2.957274
104, -5.219110
105, -3.236544
106, -0.394820
107, -0.000000
108, -0.595025
109, -0.000000
110, -1.675122
111, -0.006239
112, -0.000000
113, -2.458873
114, -4.085448
115, -2.987234
116, -0.000000
117, -0.000000
118, -0.000000
119, -0.000000
120, -0.948211
121, -0.000000
122, -0.000000
123, -2.581159
124, -4.996990
125, -2.919310
126, -0.655308
127, -0.000000
128, -0.000000
129, -0.000000
130, -0.000000
131, -0.000000
132, -0.000000
133, -3.548041
134, -4.637743
135, -3.441072
136, -0.685930
137, -0.000000
138, -0.326031
139, -0.000000
140, -0.303158
141, -0.000000
142, -0.000000
