index, f_val
0, 0.000000
1, 0.000000
2, 0.120540
3, 2.568773
4, 5.206567
5, 2.204313
6, 2.417684
7, 0.788159
8, 0.000000
9, 0.640626
10, 0.000000
11, 0.164214
12, 0.295889
13, 3.105419
14, 3.978733
15, 3.368669
16, 0.860512
17, 0.000000
18, 1.174720
19, 0.384969
20, 0.731488
21, 0.062578
22, 0.416589
23, 2.869028
24, 2.949984
25, 3.668879
26, 0.000000
27, 0.000000
28, 0.000000
29, 0.384618
30, 0.000000
31, 0.164441
32, 0.413970
33, 2.992303
34, 3.277211
35, 3.795081
36, 0.192616
37, 0.000000
38, 0.144735
39, 0.316195
40, 1.517858
41, 0.436894
42, 0.430201
43, 0.967207
44, 2.413213
45, 3.955437
46, 0.000000
47, 0.000000
48, 2.067583
49, 0.370407
50, 1.933404
51, 0.231541
52, 0.722194
53, 0.323698
54, 2.338084
55, 0.543934
56, 0.000000
57, 0.000000
58, 0.000000
59, 0.223342
60, 0.000000
61, 0.000000
62, 0.664790
63, 0.680634
64, 0.000000
65, 0.000000
66, 2.404669
67, 1.194569
68, 2.779695
69, 0.378165
70, 1.465495
71, 0.000000
72, 1.154845
73, 0.000000
74, 0.000000
75, 0.000000
76, 0.000000
77, 1.357721
78, 2.202985
79, 0.568674
80, 1.202172
81, 0.015812
82, 1.309752
83, 0.000000
84, 0.000000
85, 0.000000
86, 0.000000
87, 0.724103
88, 0.000000
89, 0.623612
90, 0.000000
91, 0.024963
92, 1.046441
93, 0.000000
94, 0.000000
95, 0.000000
96, 0.000000
97, 0.603718
98, 1.005341
99, 0.473240
100, 0.105064
101, 0.000000
102, 1.066813
103, 0.000000
104, 0.000000
105, 0.000000
106, 0.000000
107, 0.140385
108, 0.000000
109, 0.689775
110, 0.000000
111, 0.000000
112, 1.042282
113, 0.000000
114, 0.000000
115, 0.000000
116, 0.355146
117, 0.266168
118, 0.205007
119, 0.465607
120, 0.000000
121, 0.118976
122, 1.095024
123, 0.000000
124, 0.000000
125, 0.000000
126, 0.000000
127, 0.206369
128, 1.045290
129, 0.420271
130, 0.809991
131, 0.060848
132, 1.070086
133, 0.000000
134, 0.000000
135, 0.000000
136, 0.000000
137, 1.032310
138, 0.000000
139, 0.616945
140, 0.000000
141, 0.129892
142, 0.983254
143, 0.000000
144, 0.000000
145, 0.000000
146, 0.271944
147, 2.135899
148, 0.000000
149, 0.493009
150, 0.000000
151, 0.000000
152, 0.949700
153, 0.000000
154, 0.000000
155, 0.000000
156, 1.735622
157, 1.496838
158, 0.000000
159, 0.591145
160, 0.000000
161, 0.000000
162, 0.749271
163, 0.000000
164, 0.000000
165, 0.000000
166, 2.571830
167, 0.875536
168, 1.203770
169, 0.627668
170, 0.000000
171, 0.000000
172, 0.723166
173, 0.105655
174, 0.000000
175, 0.000000
176, 1.180487
177, 0.000000
178, 1.050462
179, 0.682728
180, 0.000000
181, 0.000000
182, 0.683111
183, 0.333417
184, 0.000000
185, 0.000000
186, 0.564561
187, 0.000000
